name,address,phone,category,website
"Joe's Classic Barbershop","123 Main St, Dallas TX 75201","214-555-0101","barbershop",""
"Bella Nails & Spa","456 Oak Ave, Plano TX 75024","972-555-0202","nail salon",""
"Sunrise Coffee House","789 Elm St, Frisco TX 75034","469-555-0303","coffee",""
"Tony's Pizza Kitchen","321 Pine Rd, Irving TX 75039","214-555-0404","pizza",""
"Zen Yoga Studio","555 Maple Dr, Dallas TX 75205","214-555-0505","yoga",""
"Mike's Auto Repair","888 Industrial Blvd, Garland TX 75040","972-555-0606","auto repair",""
"Fresh Cuts Salon","111 Fashion Ave, Dallas TX 75201","214-555-0707","hair salon",""
"Downtown Dental Care","222 Medical Pkwy, Dallas TX 75201","214-555-0808","dentist",""
"Sparkle Cleaning Co","333 Service Ln, Plano TX 75024","972-555-0909","cleaning",""
"Elite Fitness Gym","444 Health Way, Frisco TX 75034","469-555-1010","gym",""
