name,address,phone,category,website
"Classic Cuts Barbershop","2145 Main St, Lewisville TX 75067","972-555-1001","barbershop",""
"Lewisville Nails & Spa","1820 S Valley Pkwy, Lewisville TX 75067","972-555-1002","nail salon",""
"The Coffee Spot","505 W Main St, Lewisville TX 75057","972-555-1003","coffee",""
"Plano Family Dental","3300 Preston Rd, Plano TX 75093","972-555-2001","dentist",""
"Iron Temple Fitness","2100 N Central Expy, Plano TX 75074","972-555-2002","gym",""
"Bella Vida Salon","1500 K Ave, Plano TX 75074","972-555-2003","hair salon",""
"Sal's Pizza & Pasta","890 W Parker Rd, Plano TX 75075","972-555-2004","pizza",""
"Allen Auto Care","720 E Main St, Allen TX 75002","214-555-3001","auto repair",""
"Serenity Yoga Studio","210 W McDermott Dr, Allen TX 75013","214-555-3002","yoga",""
"Fresh Bites Bakery","540 S Greenville Ave, Allen TX 75002","214-555-3003","bakery",""
"Prosper Chiropractic","1250 S Preston Rd, Prosper TX 75078","469-555-4001","chiropractor",""
"The Grind Coffee House","780 E Broadway St, Prosper TX 75078","469-555-4002","coffee",""
"Elite Cuts Barber Lounge","320 N Coleman St, Prosper TX 75078","469-555-4003","barbershop",""
"Frisco Prime Steakhouse","8500 Gaylord Pkwy, Frisco TX 75034","214-555-5001","steakhouse",""
"Namaste Yoga Frisco","3030 Preston Rd, Frisco TX 75034","214-555-5002","yoga",""
"Sparkle House Cleaning","4420 Main St, Frisco TX 75034","214-555-5003","cleaning",""
"Dallas Downtown Dental","1200 Main St, Dallas TX 75202","214-555-6001","dentist",""
"Oak Lawn Fitness Studio","4100 Lemmon Ave, Dallas TX 75219","214-555-6002","gym",""
"Deep Ellum Coffee Co","2800 Commerce St, Dallas TX 75226","214-555-6003","coffee",""
"Bishop Arts Bakery","331 W 7th St, Dallas TX 75208","214-555-6004","bakery",""
"Uptown Salon & Spa","2500 McKinney Ave, Dallas TX 75201","214-555-6005","salon",""
"Knox Street Pizza","3100 Knox St, Dallas TX 75205","214-555-6006","pizza",""
"Highland Park Dental","4500 Preston Rd, Dallas TX 75205","214-555-6007","dentist",""
"Lakewood Auto Service","6200 Gaston Ave, Dallas TX 75214","214-555-6008","auto repair",""
"McKinney Ave Barbershop","2900 McKinney Ave, Dallas TX 75204","214-555-6009","barbershop",""
